,label,area,equivalent_diameter,mean_intensity,filename
14,19,2360,54.81646947,918.1817797,Exo70
15,20,3085,62.67331167,1038.447002,Exo70
16,21,3859,70.09587294,786.0178803,Exo70
17,22,2835,60.0802306,1398.671958,Exo70
18,26,3819,69.73164146,882.8887143,Exo70
19,28,3032,62.13261864,1179.342348,Exo70
20,29,2789,59.59081381,839.0670491,Exo70
21,30,3246,64.28791148,887.9778189,Exo70
22,33,4223,73.32728413,1099.094956,Exo70
23,34,2762,59.30166627,741.8272991,Exo70
24,35,2674,58.34931484,859.197083,Exo70
25,37,3038,62.19406513,812.5605662,Exo70
26,38,4011,71.4630241,1045.096485,Exo70
27,39,3095,62.77480698,1207.914055,Exo70
28,40,2291,54.00918252,891.2723701,Exo70
29,41,2892,60.68120601,914.2050484,Exo70
30,42,2761,59.29093002,1092.295183,Exo70
31,44,4459,75.34835851,1076.132092,Exo70
32,45,3104,62.86601265,796.7052191,Exo70
33,46,3973,71.12370007,1014.351623,Exo70
34,48,2898,60.74412071,804.8702553,Exo70
35,49,3879,70.27728078,995.7733952,Exo70
36,50,2719,58.8382386,1041.9452,Exo70
37,51,2422,55.53184832,811.5115607,Exo70
38,52,3617,67.86241547,1088.739287,Exo70
39,53,3187,63.70097667,1194.997804,Exo70
40,55,2606,57.60262367,986.8426708,Exo70
41,56,2198,52.90161169,941.0764331,Exo70
42,57,3512,66.87015239,961.3764237,Exo70
43,60,3001,61.81417211,1197.231589,Exo70
44,61,3524,66.98429783,1020.015607,Exo70
45,62,3010,61.90679308,969.9435216,Exo70
46,63,2536,56.82372291,994.3966877,Exo70
47,64,2934,61.12024889,812.0613497,Exo70
48,65,2720,58.84905744,845.0845588,Exo70
49,67,2144,52.24773281,1275.561101,Exo70
50,68,3112,62.94697342,1263.514781,Exo70
51,69,3708,68.71078687,941.4352751,Exo70
52,70,2475,56.13615478,977.0521212,Exo70
53,71,2780,59.49458744,955.1298561,Exo70
54,72,2164,52.49085992,1217.852588,Exo70
55,73,3051,62.32699135,840.6506064,Exo70
56,74,2832,60.04843371,974.9254944,Exo70
57,75,2539,56.85732322,919.7526585,Exo70
58,77,2035,50.90228358,944.3007371,Exo70
59,78,3428,66.06561253,833.0927655,Exo70
60,79,2458,55.94303175,1068.498779,Exo70
61,80,2599,57.52520819,1008.282801,Exo70
62,81,3528,67.02230311,1309.947562,Exo70
63,82,1602,45.16336735,1195.78839,Exo70
64,83,3349,65.29991758,1154.369961,Exo70
65,84,3131,63.13883919,835.7646119,Exo70
66,85,2476,56.14749427,1089.088045,Exo70
67,86,2482,56.21548319,1026.101934,Exo70
68,87,2368,54.90930014,1016.480574,Exo70
69,88,1836,48.34943437,1069.008715,Exo70
70,89,2552,57.00269571,1081.180643,Exo70
71,90,3177,63.60095938,979.0465848,Exo70
72,91,3009,61.89650871,1080.687936,Exo70
73,92,1803,47.91295127,1064.547421,Exo70
74,93,3165,63.48073061,1109.442338,Exo70
75,94,1681,46.26354585,954.3753718,Exo70
76,95,1859,48.65133414,1240.555137,Exo70
77,96,2025,50.77706252,1146.514074,Exo70
78,97,3613,67.82488094,896.9141987,Exo70
79,98,1918,49.41733954,888.3816475,Exo70
80,99,2161,52.45446269,772.1360481,Exo70
